"POPCTRRAuid","POPCTRRAdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"1179","2021S05101179","Sainte-Anne-des-Plaines","6","2",11269,4560,4482,10865,10865,4245,4113,"4.0651","0","0","0","24",,"462"
"1184","2021S05101184","Sainte-Julienne","4","2",3469,1698,1553,3263,3263,1507,1420,"6.4944","0","0","0","24",,
"1186","2021S05101186","Danville","4","2",1652,854,805,1577,1577,842,773,"2.3376","0","0","0","24",,
"1188","2021S05101188","La Ronge","4","2",5317,1797,1630,5671,5709,1944,1720,"8.7622","1","0","0","47",,
"1190","2021S05101190","Port McNeill","4","2",2234,1057,973,2064,2219,1046,962,"2.4862","1","0","0","59",,
"1197","2021S05101197","Wembley","4","2",1432,616,550,1516,1516,618,565,"2.1979","0","0","0","48",,
"1198","2021S05101198","Penhold","4","2",3359,1353,1284,3165,3210,1268,1207,"1.6488","1","0","0","48",,
"1199","2021S05101199","Lamont","4","2",1328,564,519,1347,1347,532,503,"1.9319","0","0","0","48",,
"1200","2021S05101200","Elk Point","4","2",1394,677,586,1437,1437,637,530,"2.2592","0","0","0","48",,
"1201","2021S05101201","Millet","4","2",1847,814,776,1905,1905,847,805,"2.1815","0","0","0","48",,
"1202","2021S05101202","Beaumont","6","2",20779,7124,6907,17396,17396,5980,5633,"10.3988","0","0","0","48",,"835"
"1203","2021S05101203","Pasadena","2","2",2769,1268,1193,2800,2800,1243,1163,"3.5412","0","0","0","10",,"015"
"1205","2021S05101205","Brownsburg","4","2",1315,682,635,1425,1425,698,655,"1.0048","0","0","0","24",,
"1209","2021S05101209","Rockwood","2","2",5488,2044,1970,4629,4629,1703,1681,"5.9233","0","0","0","35",,"550"
"1211","2021S05101211","Pilot Butte","2","2",2364,883,853,1800,1871,680,655,"2.753","1","0","0","47",,"705"
"1212","2021S05101212","Dalmeny","2","2",1703,606,594,1769,1769,588,573,"1.4968","0","0","0","47",,"725"
"1213","2021S05101213","Martensville","2","2",10499,3789,3631,9533,9645,3337,3248,"5.4803","1","0","0","47",,"725"
"1214","2021S05101214","Bon Accord","2","2",1451,585,550,1529,1529,578,560,"2.1272","0","0","0","48",,"835"
"1216","2021S05101216","Crossfield","2","2",3579,1375,1320,2973,2973,1165,1098,"3.9948","0","0","0","48",,"825"
"1217","2021S05101217","Lions Bay","2","2",1390,557,506,1334,1334,547,495,"2.532","0","0","0","59",,"933"
"1218","2021S05101218","Aldergrove","2","2",13105,4747,4554,12007,12126,4521,4332,"7.0289","1","0","0","59",,"933"
"1219","2021S05101219","Sicamous","4","2",2041,1539,965,1786,1786,1550,872,"2.6314","0","0","0","59",,
"1221","2021S05101221","Houston","4","2",2085,1016,885,2126,2126,1033,884,"2.9443","0","0","0","59",,
"1225","2021S05101225","Lac du Bonnet","4","2",1064,549,496,1089,1089,582,522,"2.2604","0","0","0","46",,
"1230","2021S05101230","Langham","2","2",1349,525,494,1319,1319,503,479,"0.8814","0","0","0","47",,"725"
"1231","2021S05101231","Macklin","4","2",1098,485,442,1193,1193,496,454,"0.7647","0","0","0","47",,
"1235","2021S05101235","Saint-Éphrem-de-Tring","4","2",1373,636,600,1385,1385,622,567,"1.9827","0","0","0","24",,
"1238","2021S05101238","Le Bic","2","2",1132,513,498,1115,1115,499,487,"1.2307","0","0","0","24",,"404"
"1239","2021S05101239","Belmont","2","2",1275,500,492,1140,1140,444,440,"0.9925","0","0","0","35",,"555"
"1240","2021S05101240","Tumbler Ridge","4","2",2389,1547,1090,1982,1987,1563,859,"2.9483","1","0","0","59",,
"1241","2021S05101241","Hastings","4","2",1388,714,639,1115,1159,596,528,"2.1537","1","0","0","35",,
"1242","2021S05101242","Sexsmith","4","2",2275,862,790,2461,2461,868,808,"1.8287","0","0","0","48",,
"1243","2021S05101243","Hensall","4","2",1126,468,453,,1021,431,404,"1.8646","1","0","0","35",,
"1245","2021S05101245","St. Jacobs","2","2",1959,740,727,1988,1988,723,710,"2.8087","0","0","0","35",,"541"
"1248","2021S05101248","Cookstown","2","2",1647,557,546,1214,1214,443,419,"1.1433","0","0","0","35",,"568"
"1249","2021S05101249","Coalhurst","2","2",2818,1038,1008,2623,2623,949,920,"1.7628","0","0","0","48",,"810"
"1252","2021S05101252","Lac-Lapierre","2","2",2533,1090,1034,2480,2480,1063,1031,"2.6037","0","0","0","24",,"462"
"1254","2021S05101254","St. Adolphe","2","2",1595,582,578,1362,1367,502,498,"1.7416","1","0","0","46",,"602"
"1255","2021S05101255","Carlisle","2","2",1858,636,626,1869,1869,640,629,"2.5612","0","0","0","35",,"537"
"1257","2021S05101257","Rossland","4","2",3645,1715,1588,3219,3416,1623,1454,"4.0055","1","0","0","59",,
"1258","2021S05101258","Stony Plain","6","2",17253,7136,6802,16271,16416,6626,6315,"17.7261","1","0","0","48",,"835"
"1261","2021S05101261","Saint-Sulpice","2","2",1769,760,745,1753,1853,766,751,"1.1674","1","0","0","24",,"462"
"1262","2021S05101262","Duck Lake","2","2",12725,5792,5320,6982,10085,5294,4239,"24.9263","1","0","0","59",,"915"
"1264","2021S05101264","Osgoode","2","2",2535,949,935,2578,2578,943,931,"2.9746","0","0","0","35",,"505"
"1267","2021S05101267","Lake Echo","2","2",2365,1031,1008,2515,2515,1075,1041,"4.7633","0","0","0","12",,"205"
"1269","2021S05101269","Vineland","2","2",4395,1857,1820,4074,4260,1705,1680,"5.8005","1","0","0","35",,"539"
"1272","2021S05101272","Mount Albert","2","2",5695,1968,1930,4925,5021,1746,1722,"4.674","1","0","0","35",,"535"
"1277","2021S05101277","Saint-Alexandre","4","2",1466,552,535,1304,1304,527,510,"1.9323","0","0","0","24",,
"1279","2021S05101279","Bassano","4","2",1186,583,531,1196,1201,555,535,"1.3253","1","0","0","48",,
"1284","2021S05101284","Hauterive","1","2",11147,5441,5130,11549,11549,5430,5175,"8.6712","0","0","0","24",,"406"
"1286","2021S05101286","Laurier-Station","4","2",1856,875,845,1894,1894,848,824,"2.9739","0","0","0","24",,
"1287","2021S05101287","Kingsey Falls","4","2",1419,596,580,1452,1452,591,559,"2.7691","0","0","0","24",,
"1297","2021S05101297","Grand Bend","4","2",3031,2498,1605,2684,2684,2451,1454,"6.3904","0","0","0","35",,
"1299","2021S05101299","Wellesley","4","2",3536,1222,1206,3246,3246,1135,1124,"1.6722","0","0","0","35",,
"1300","2021S05101300","Sechelt","4","2",9434,4884,4442,8832,8993,4606,4271,"11.9604","1","0","0","59",,
"1301","2021S05101301","Mildmay","4","2",1222,536,509,1219,1219,532,513,"1.5969","0","0","0","35",,
"1302","2021S05101302","Two Hills","4","2",1379,510,432,1198,1291,450,378,"1.2537","1","0","0","48",,
"1305","2021S05101305","Wikwemikong","4","2",1417,556,522,1342,1567,631,586,"3.443","1","0","0","35",,
"1306","2021S05101306","Russell","2","2",6135,2301,2275,4464,5039,1798,1771,"4.5631","1","0","0","35",,"505"
"1307","2021S05101307","Omemee","2","2",1060,451,431,1271,1271,559,522,"2.1209","0","0","0","35",,"530"
"1308","2021S05101308","Millbrook","2","2",1739,654,635,1695,1695,650,633,"2.0682","0","0","0","35",,"529"
"1309","2021S05101309","Whistler","4","2",9974,7800,4001,8713,8739,8719,3382,"11.7412","1","0","0","59",,
"1311","2021S05101311","Athabasca","4","2",1181,602,521,1250,1250,600,541,"2.0323","0","0","0","48",,
"1312","2021S05101312","Stoney Point","2","2",1394,622,558,1087,1318,600,521,"2.456","1","0","0","35",,"559"
"1313","2021S05101313","Burford","2","2",1058,449,440,,792,350,332,"2.0141","1","0","0","35",,"543"
"1314","2021S05101314","Cultus Lake","2","2",1164,739,564,1053,1053,737,516,"1.7977","0","0","0","59",,"930"
"1315","2021S05101315","St. George","2","2",3354,1262,1246,3255,3255,1204,1196,"2.966","0","0","0","35",,"543"
"1317","2021S05101317","Drayton","4","2",2279,803,780,2111,2111,756,731,"2.8","0","0","0","35",,
"1318","2021S05101318","Filion","4","2",3572,1425,1406,3334,4244,1629,1608,"3.488","1","0","0","24",,
"1319","2021S05101319","Caledon","2","2",1466,508,495,1482,1482,475,474,"2.8438","0","0","0","35",,"535"
"1320","2021S05101320","Rankin Inlet","4","2",2698,929,750,2441,2608,909,741,"2.8622","1","0","0","62",,
"1321","2021S05101321","Constance Bay","2","2",2263,1107,988,2314,2314,1119,959,"5.5599","0","0","0","35",,"505"
"1322","2021S05101322","Munster","2","2",1145,429,425,,939,335,332,"0.6705","1","0","0","35",,"505"
"1323","2021S05101323","Metcalfe","2","2",1811,673,663,1776,1776,659,657,"2.1906","0","0","0","35",,"505"
"1325","2021S05101325","Kent","2","2",3936,1769,1670,3802,3911,1684,1636,"4.0245","1","0","0","59",,"930"
"1326","2021S05101326","Saint-Denis","4","2",1048,500,485,,985,474,450,"1.0715","1","0","0","24",,
"1327","2021S05101327","Amigo Beach","4","2",1924,822,734,1545,1598,735,624,"2.5732","1","0","0","35",,
